,InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
319992,C564955,22892,SET OF SALT AND PEPPER TOADSTOOLS,-2,2011-08-31 13:39:00,1.25,15786.0,United Kingdom
369968,C569119,22892,SET OF SALT AND PEPPER TOADSTOOLS,-1,2011-09-30 12:57:00,1.25,14194.0,United Kingdom
400727,C571329,22892,SET OF SALT AND PEPPER TOADSTOOLS,-1,2011-10-17 11:32:00,1.0,17706.0,United Kingdom
441511,574583,22892,check,-62,2011-11-04 17:46:00,0.0,nan,United Kingdom
450083,C575156,22892,SET OF SALT AND PEPPER TOADSTOOLS,-12,2011-11-08 16:18:00,1.25,16602.0,United Kingdom
1980,C536548,22245,"HOOK, 1 HANGER ,MAGIC GARDEN",-2,2010-12-01 14:33:00,0.85,12472.0,Germany
83747,C543347,22245,"HOOK, 1 HANGER ,MAGIC GARDEN",-3,2011-02-07 12:44:00,0.85,12472.0,Germany
128466,547338,22245,missing,-110,2011-03-22 11:49:00,0.0,nan,United Kingdom
357369,568089,22245,missing,-37,2011-09-23 14:41:00,0.0,nan,United Kingdom
1985,C536548,20957,PORCELAIN HANGING BELL SMALL,-1,2010-12-01 14:33:00,1.45,12472.0,Germany
140285,548398,22482,missing,-66,2011-03-30 17:24:00,0.0,nan,United Kingdom
74998,C542537,21917,SET 12 KIDS  WHITE CHALK STICKS,-12,2011-01-28 13:54:00,0.42,12501.0,Germany
270101,C560540,21917,SET 12 KIDS  WHITE CHALK STICKS,-1,2011-07-19 12:26:00,0.42,12415.0,Australia
486519,C577737,22599,CHRISTMAS MUSICAL ZINC STAR,-24,2011-11-21 13:25:00,0.85,15681.0,United Kingdom
486520,C577737,22597,MUSICAL ZINC HEART DECORATION ,-24,2011-11-21 13:25:00,0.85,15681.0,United Kingdom
521100,C580312,22597,MUSICAL ZINC HEART DECORATION ,-10,2011-12-02 15:09:00,0.85,13969.0,United Kingdom
382985,C569985,21495,SKULLS AND CROSSBONES WRAP,-25,2011-10-06 19:51:00,0.42,15365.0,United Kingdom
22296,538161,46000S,Dotcom sales,-100,2010-12-09 17:25:00,0.0,nan,United Kingdom
65077,541687,46000S,Dotcom,-300,2011-01-20 15:42:00,0.0,nan,United Kingdom
242251,C558327,46000S,POLYESTER FILLER PAD 40x40cm,-24,2011-06-28 12:04:00,1.45,17900.0,United Kingdom
242282,C558329,46000S,POLYESTER FILLER PAD 40x40cm,-12,2011-06-28 12:09:00,1.45,17900.0,United Kingdom
374909,C569410,46000S,POLYESTER FILLER PAD 40x40cm,-8,2011-10-04 09:48:00,1.45,13364.0,United Kingdom
431799,573752,46000S,dotcom sales,-90,2011-11-01 09:34:00,0.0,nan,United Kingdom
292266,562544,84920,missing,-9,2011-08-05 15:46:00,0.0,nan,United Kingdom
363132,568543,84920,missing,-21,2011-09-27 14:33:00,0.0,nan,United Kingdom
49853,C540535,84508A,CAMOUFLAGE DESIGN TEDDY,-1,2011-01-09 14:17:00,2.55,15005.0,United Kingdom
451849,575287,84508A,check,-39,2011-11-09 12:15:00,0.0,nan,United Kingdom
206341,C554931,21670,BLUE SPOT CERAMIC DRAWER KNOB,-1,2011-05-27 13:21:00,1.25,17841.0,United Kingdom
255451,C559347,21670,BLUE SPOT CERAMIC DRAWER KNOB,-12,2011-07-07 17:22:00,1.25,18072.0,United Kingdom
308313,C563948,21670,BLUE SPOT CERAMIC DRAWER KNOB,-6,2011-08-22 10:30:00,1.25,13089.0,United Kingdom
320585,565045,21670,missing,-115,2011-08-31 17:03:00,0.0,nan,United Kingdom
329635,C565848,21670,BLUE SPOT CERAMIC DRAWER KNOB,-38,2011-09-07 12:48:00,1.45,14606.0,United Kingdom
378709,C569663,21670,BLUE SPOT CERAMIC DRAWER KNOB,-1,2011-10-05 13:29:00,1.45,17841.0,United Kingdom
475902,C576925,21670,BLUE SPOT CERAMIC DRAWER KNOB,-6,2011-11-17 10:54:00,1.45,14102.0,United Kingdom
476239,C576968,21670,BLUE SPOT CERAMIC DRAWER KNOB,-5,2011-11-17 11:51:00,1.45,13668.0,United Kingdom
45907,C540307,22212,FOUR HOOK  WHITE LOVEBIRDS,-12,2011-01-06 12:58:00,2.1,15823.0,United Kingdom
84713,C543431,22212,FOUR HOOK  WHITE LOVEBIRDS,-1,2011-02-08 11:37:00,2.1,12474.0,Germany
121368,C546758,22212,FOUR HOOK  WHITE LOVEBIRDS,-1,2011-03-16 13:47:00,2.1,nan,United Kingdom
122730,C546887,22212,FOUR HOOK  WHITE LOVEBIRDS,-1,2011-03-17 18:14:00,2.1,14329.0,United Kingdom
123595,C546903,22212,FOUR HOOK  WHITE LOVEBIRDS,-6,2011-03-17 18:31:00,2.1,16217.0,United Kingdom
164828,C550709,22212,FOUR HOOK  WHITE LOVEBIRDS,-1,2011-04-20 10:53:00,2.1,12997.0,United Kingdom
364998,C568689,22212,FOUR HOOK  WHITE LOVEBIRDS,-1,2011-09-28 14:42:00,2.1,17841.0,United Kingdom
448613,C575064,22212,FOUR HOOK  WHITE LOVEBIRDS,-1,2011-11-08 12:39:00,2.1,12472.0,Germany
154259,C549898,22678,FRENCH BLUE METAL DOOR SIGN 3,-1,2011-04-12 16:00:00,1.25,13078.0,United Kingdom
214903,C555636,22678,FRENCH BLUE METAL DOOR SIGN 3,-10,2011-06-06 12:33:00,1.25,15073.0,United Kingdom
29357,C538768,22686,FRENCH BLUE METAL DOOR SIGN No,-12,2010-12-14 11:34:00,1.25,14829.0,United Kingdom
214895,C555636,22686,FRENCH BLUE METAL DOOR SIGN No,-12,2011-06-06 12:33:00,1.25,15073.0,United Kingdom
6782,C536979,84685,BEACH HUT KEY CABINET,-1,2010-12-03 14:23:00,3.75,17841.0,United Kingdom
19447,C537860,79066K,RETRO MOD TRAY,-10,2010-12-08 16:15:00,0.85,16252.0,United Kingdom
182837,C552585,79066K,RETRO MOD TRAY,-1,2011-05-10 12:35:00,0.85,17841.0,United Kingdom
383087,C569996,79066K,RETRO MOD TRAY,-1,2011-10-06 20:38:00,0.85,15322.0,United Kingdom
88101,C543768,22794,SWEETHEART WIRE MAGAZINE RACK,-1,2011-02-11 15:20:00,7.95,14497.0,United Kingdom
209590,C555252,22794,SWEETHEART WIRE MAGAZINE RACK,-1,2011-06-01 15:13:00,7.95,12987.0,United Kingdom
268326,C560409,22794,SWEETHEART WIRE MAGAZINE RACK,-2,2011-07-18 14:24:00,7.95,16717.0,United Kingdom
380377,C569786,22794,SWEETHEART WIRE MAGAZINE RACK,-1,2011-10-06 11:40:00,7.95,17813.0,United Kingdom
33084,C539221,22592,CARDHOLDER HOLLY WREATH METAL,-1,2010-12-16 12:56:00,3.75,14911.0,EIRE
375189,C569421,22592,CARDHOLDER HOLLY WREATH METAL,-1,2011-10-04 10:37:00,3.75,15339.0,United Kingdom
29283,C538734,84352,SILVER CHRISTMAS TREE BAUBLE STAND ,-2,2010-12-14 11:24:00,16.95,16810.0,United Kingdom
32370,C539054,84352,SILVER CHRISTMAS TREE BAUBLE STAND ,-1,2010-12-15 16:34:00,16.95,17044.0,United Kingdom
42558,C540006,84352,SILVER CHRISTMAS TREE BAUBLE STAND ,-1,2011-01-04 10:48:00,16.95,14606.0,United Kingdom
285726,561920,84352,Damages/samples,-52,2011-08-01 12:10:00,0.0,nan,United Kingdom
38455,C539576,22795,SWEETHEART RECIPE BOOK STAND,-10,2010-12-20 12:25:00,6.75,14911.0,EIRE
47140,C540384,22795,SWEETHEART RECIPE BOOK STAND,-1,2011-01-06 17:48:00,6.75,14961.0,United Kingdom
171730,551456,22795,missing,-3,2011-04-28 16:03:00,0.0,nan,United Kingdom
529700,C580749,22795,SWEETHEART RECIPE BOOK STAND,-6,2011-12-06 09:49:00,0.7,18167.0,United Kingdom
32722,C539110,22278,OVERNIGHT BAG VINTAGE ROSE PAISLEY,-1,2010-12-16 11:10:00,4.95,16470.0,United Kingdom
58333,C541231,22278,OVERNIGHT BAG VINTAGE ROSE PAISLEY,-3,2011-01-14 16:55:00,4.95,13455.0,United Kingdom
463819,C576072,22278,OVERNIGHT BAG VINTAGE ROSE PAISLEY,-2,2011-11-13 16:05:00,4.95,18069.0,United Kingdom
153782,C549822,84884A,ANT WHITE WIRE HEART SPIRAL,-1,2011-04-12 12:35:00,3.95,12854.0,United Kingdom
246745,C558716,51014C,"FEATHER PEN,COAL BLACK",-12,2011-07-01 13:22:00,0.39,17888.0,United Kingdom
362298,C568419,51014C,"FEATHER PEN,COAL BLACK",-96,2011-09-27 11:16:00,0.39,13694.0,United Kingdom
387536,C570331,51014C,"FEATHER PEN,COAL BLACK",-1,2011-10-10 12:18:00,0.39,14606.0,United Kingdom
434069,C574026,51014C,"FEATHER PEN,COAL BLACK",-1,2011-11-02 12:26:00,0.39,14606.0,United Kingdom
71508,C542138,51014L,"FEATHER PEN,LIGHT PINK",-72,2011-01-25 17:21:00,0.85,17368.0,United Kingdom
246744,C558716,51014L,"FEATHER PEN,LIGHT PINK",-12,2011-07-01 13:22:00,0.39,17888.0,United Kingdom
71509,C542138,51014A,"FEATHER PEN,HOT PINK",-72,2011-01-25 17:21:00,0.85,17368.0,United Kingdom
140730,C548460,22366,DOORMAT AIRMAIL ,-2,2011-03-31 11:58:00,7.95,16801.0,United Kingdom
387308,C570278,22366,DOORMAT AIRMAIL ,-24,2011-10-10 11:05:00,7.08,14534.0,United Kingdom
497445,C578371,22366,DOORMAT AIRMAIL ,-1,2011-11-24 11:16:00,8.25,14410.0,United Kingdom
140750,C548460,48111,DOORMAT 3 SMILEY CATS,-2,2011-03-31 11:58:00,7.95,16801.0,United Kingdom
87604,C543663,22846,BREAD BIN DINER STYLE RED ,-1,2011-02-11 10:50:00,16.95,18118.0,United Kingdom
88205,C543785,22846,BREAD BIN DINER STYLE RED ,-2,2011-02-11 17:01:00,14.95,13098.0,United Kingdom
107376,C545436,22846,BREAD BIN DINER STYLE RED ,-1,2011-03-02 15:52:00,14.95,13093.0,United Kingdom
107522,C545453,22846,BREAD BIN DINER STYLE RED ,-1,2011-03-02 16:57:00,16.95,14639.0,United Kingdom
140755,C548460,22846,BREAD BIN DINER STYLE RED ,-1,2011-03-31 11:58:00,16.95,16801.0,United Kingdom
140798,C548464,22846,BREAD BIN DINER STYLE RED ,-3,2011-03-31 12:14:00,14.95,13043.0,United Kingdom
158680,C550306,22846,BREAD BIN DINER STYLE RED ,-1,2011-04-17 10:38:00,16.95,16905.0,United Kingdom
204692,C554690,22846,BREAD BIN DINER STYLE RED ,-2,2011-05-25 16:56:00,16.95,16871.0,United Kingdom
235962,C557666,22846,BREAD BIN DINER STYLE RED ,-1,2011-06-21 18:03:00,16.95,12947.0,United Kingdom
257485,C559531,22846,BREAD BIN DINER STYLE RED ,-1,2011-07-10 12:07:00,16.95,14808.0,United Kingdom
268242,C560395,22846,BREAD BIN DINER STYLE RED ,-2,2011-07-18 13:47:00,14.95,15125.0,United Kingdom
294925,C562728,22846,BREAD BIN DINER STYLE RED ,-4,2011-08-09 09:41:00,14.95,12406.0,Denmark
304691,C563606,22846,BREAD BIN DINER STYLE RED ,-1,2011-08-18 06:30:00,16.95,13925.0,United Kingdom
328768,C565804,22846,BREAD BIN DINER STYLE RED ,-1,2011-09-07 10:50:00,16.95,17491.0,United Kingdom
349689,C567518,22846,BREAD BIN DINER STYLE RED ,-1,2011-09-20 16:28:00,16.95,nan,EIRE
387477,C570290,22846,BREAD BIN DINER STYLE RED ,-1,2011-10-10 11:54:00,16.95,14665.0,United Kingdom
394934,C570889,22846,BREAD BIN DINER STYLE RED ,-1,2011-10-13 10:49:00,16.95,13954.0,United Kingdom
474977,C576858,22846,BREAD BIN DINER STYLE RED ,-1,2011-11-16 15:52:00,16.95,17183.0,United Kingdom
124935,C546997,22402,MAGNETS PACK OF 4 VINTAGE COLLAGE,-6,2011-03-18 13:32:00,1.25,12748.0,United Kingdom
133125,C547725,22402,MAGNETS PACK OF 4 VINTAGE COLLAGE,-6,2011-03-25 10:43:00,1.25,nan,United Kingdom
275801,C561016,22400,MAGNETS PACK OF 4 HOME SWEET HOME,-1,2011-07-22 16:41:00,0.39,14056.0,United Kingdom
124936,C546997,22399,MAGNETS PACK OF 4 CHILDHOOD MEMORY,-6,2011-03-18 13:32:00,1.25,12748.0,United Kingdom
133126,C547725,22399,MAGNETS PACK OF 4 CHILDHOOD MEMORY,-6,2011-03-25 10:43:00,1.25,nan,United Kingdom
394036,C570867,22399,MAGNETS PACK OF 4 CHILDHOOD MEMORY,-12,2011-10-12 16:17:00,1.25,12607.0,USA
68360,C541863,37446,MINI CAKE STAND WITH HANGING CAKES,-1,2011-01-23 16:08:00,1.25,13798.0,United Kingdom
74367,C542421,37446,MINI CAKE STAND WITH HANGING CAKES,-1,2011-01-27 18:08:00,1.45,17180.0,United Kingdom
88084,C543760,37446,MINI CAKE STAND WITH HANGING CAKES,-48,2011-02-11 15:12:00,1.25,15638.0,United Kingdom
107517,C545449,37446,MINI CAKE STAND WITH HANGING CAKES,-3,2011-03-02 16:38:00,1.45,16573.0,United Kingdom
152581,C549666,37446,MINI CAKE STAND WITH HANGING CAKES,-4,2011-04-11 12:17:00,1.45,13113.0,United Kingdom
154264,C549900,37446,MINI CAKE STAND WITH HANGING CAKES,-1,2011-04-12 16:10:00,1.45,17180.0,United Kingdom
156235,C550127,37446,MINI CAKE STAND WITH HANGING CAKES,-2,2011-04-14 13:12:00,1.45,15212.0,United Kingdom
161570,C550475,37446,MINI CAKE STAND WITH HANGING CAKES,-2,2011-04-18 13:59:00,1.25,13798.0,United Kingdom
184788,C552706,37446,MINI CAKE STAND WITH HANGING CAKES,-1,2011-05-10 16:15:00,1.45,13014.0,United Kingdom
300948,C563223,37446,MINI CAKE STAND WITH HANGING CAKES,-1,2011-08-14 14:30:00,1.45,16292.0,United Kingdom
310847,C564206,37446,MINI CAKE STAND WITH HANGING CAKES,-1,2011-08-24 09:04:00,1.25,14301.0,United Kingdom
384038,C570099,37446,MINI CAKE STAND WITH HANGING CAKES,-4,2011-10-07 12:11:00,1.25,13798.0,United Kingdom
531819,C580971,22313,OFFICE MUG WARMER PINK,-250,2011-12-06 15:04:00,2.55,14298.0,United Kingdom
24923,C538350,21181,PLEASE ONE PERSON METAL SIGN,-2,2010-12-10 15:01:00,1.85,13798.0,United Kingdom
68356,C541863,21181,PLEASE ONE PERSON METAL SIGN,-1,2011-01-23 16:08:00,1.85,13798.0,United Kingdom
161555,C550475,21181,PLEASE ONE PERSON METAL SIGN,-1,2011-04-18 13:59:00,1.85,13798.0,United Kingdom
169491,C551178,21181,PLEASE ONE PERSON METAL SIGN,-3,2011-04-26 17:26:00,2.1,15805.0,United Kingdom
182518,C552552,21181,PLEASE ONE PERSON METAL SIGN,-48,2011-05-10 10:51:00,1.85,16525.0,United Kingdom
225297,C556647,21181,PLEASE ONE PERSON METAL SIGN,-12,2011-06-13 16:14:00,2.1,13012.0,United Kingdom
240649,C558106,21181,PLEASE ONE PERSON METAL SIGN,-1,2011-06-26 14:59:00,2.1,13668.0,United Kingdom
387462,C570290,21181,PLEASE ONE PERSON METAL SIGN,-12,2011-10-10 11:54:00,2.1,14665.0,United Kingdom
407329,C571860,21181,PLEASE ONE PERSON METAL SIGN,-1,2011-10-19 13:42:00,2.1,14175.0,United Kingdom
410587,C572120,21181,PLEASE ONE PERSON METAL SIGN,-6,2011-10-20 19:29:00,2.1,14911.0,EIRE
428523,573482,21181,check,-54,2011-10-31 11:20:00,0.0,nan,United Kingdom
440212,574520,21181,missing,-6,2011-11-04 13:44:00,0.0,nan,United Kingdom
436593,574171,21818,check,-130,2011-11-03 11:45:00,0.0,nan,United Kingdom
39382,C539640,21668,RED STRIPE CERAMIC DRAWER KNOB,-1,2010-12-20 15:27:00,1.06,15311.0,United Kingdom
83752,C543347,21668,RED STRIPE CERAMIC DRAWER KNOB,-1,2011-02-07 12:44:00,1.25,12472.0,Germany
152849,C549692,21668,RED STRIPE CERAMIC DRAWER KNOB,-1,2011-04-11 13:43:00,1.06,13668.0,United Kingdom
173219,C551659,21668,RED STRIPE CERAMIC DRAWER KNOB,-3,2011-05-03 12:14:00,1.06,13668.0,United Kingdom
234422,C557520,21668,RED STRIPE CERAMIC DRAWER KNOB,-3,2011-06-20 17:18:00,1.25,15291.0,United Kingdom
332692,C566090,21668,RED STRIPE CERAMIC DRAWER KNOB,-12,2011-09-09 10:32:00,1.45,12477.0,Germany
352809,C567691,21668,RED STRIPE CERAMIC DRAWER KNOB,-42,2011-09-21 17:04:00,1.06,17567.0,United Kingdom
367301,C568879,21668,RED STRIPE CERAMIC DRAWER KNOB,-6,2011-09-29 12:38:00,1.45,14680.0,United Kingdom
394055,C570867,21668,RED STRIPE CERAMIC DRAWER KNOB,-12,2011-10-12 16:17:00,1.45,12607.0,USA
476240,C576968,21668,RED STRIPE CERAMIC DRAWER KNOB,-3,2011-11-17 11:51:00,1.45,13668.0,United Kingdom
58329,C541229,22496,SET OF 2 ROUND TINS DUTCH CHEESE,-4,2011-01-14 16:43:00,2.95,16359.0,United Kingdom
61953,C541492,84870B,BLUE GEISHA GIRL ,-1,2011-01-18 14:24:00,3.75,nan,United Kingdom
75233,542557,22765,missing,-1,2011-01-28 14:50:00,0.0,nan,United Kingdom
44300,C540164,21351,CINAMMON & ORANGE WREATH,-2,2011-01-05 12:02:00,6.75,14911.0,EIRE
75602,C542604,21351,CINAMMON & ORANGE WREATH,-5,2011-01-30 12:35:00,6.75,13148.0,United Kingdom
241999,558268,21351,damaged,-220,2011-06-28 10:17:00,0.0,nan,United Kingdom
258336,C559608,22581,WOOD STOCKING CHRISTMAS SCANDISPOT,-2,2011-07-11 11:44:00,0.85,14690.0,United Kingdom
268243,C560396,22579,WOODEN TREE CHRISTMAS SCANDINAVIAN,-96,2011-07-18 13:49:00,0.85,18087.0,United Kingdom
492659,578145,22579,dotcom,-40,2011-11-23 11:07:00,0.0,nan,United Kingdom
497632,578431,22579,missing,-18,2011-11-24 12:15:00,0.0,nan,United Kingdom
418840,572749,22572,missing,-335,2011-10-25 16:52:00,0.0,nan,United Kingdom
44896,C540243,22638,SET OF 4 NAPKIN CHARMS CROWNS ,-1,2011-01-05 15:32:00,2.55,12585.0,Germany
389644,C570484,22576,SWALLOW WOODEN CHRISTMAS DECORATION,-6,2011-10-10 17:08:00,0.85,14911.0,EIRE
535336,581213,22576,check,-30,2011-12-07 18:38:00,0.0,nan,United Kingdom
243345,558451,21817,missing,-80,2011-06-29 13:41:00,0.0,nan,United Kingdom
456829,575720,21817,check,-8,2011-11-10 18:09:00,0.0,nan,United Kingdom
433849,C574003,21813,GARLAND WITH STARS AND BELLS,-6,2011-11-02 11:44:00,4.95,14390.0,United Kingdom
461859,C575953,21813,GARLAND WITH STARS AND BELLS,-1,2011-11-13 11:56:00,4.95,16015.0,United Kingdom
455410,575617,21014,check,-90,2011-11-10 12:53:00,0.0,nan,United Kingdom
489243,577999,21018,damaged,-63,2011-11-22 12:29:00,0.0,nan,United Kingdom
29016,C538684,22946,WOODEN ADVENT CALENDAR CREAM,-1,2010-12-14 09:26:00,16.95,16161.0,United Kingdom
309592,C564131,22946,WOODEN ADVENT CALENDAR CREAM,-1,2011-08-23 10:55:00,16.95,14407.0,United Kingdom
440983,C574558,22946,WOODEN ADVENT CALENDAR CREAM,-6,2011-11-04 15:48:00,12.75,15187.0,United Kingdom
480499,577305,22946,check,-21,2011-11-18 13:06:00,0.0,nan,United Kingdom
499428,C578673,22946,WOODEN ADVENT CALENDAR CREAM,-1,2011-11-24 18:05:00,16.95,16016.0,United Kingdom
511481,C579502,22946,WOODEN ADVENT CALENDAR CREAM,-1,2011-11-29 16:19:00,16.95,16759.0,United Kingdom
531816,C580970,22946,WOODEN ADVENT CALENDAR CREAM,-6,2011-12-06 15:01:00,12.75,15814.0,United Kingdom
533691,C581100,22946,WOODEN ADVENT CALENDAR CREAM,-1,2011-12-07 11:44:00,16.95,14534.0,United Kingdom
401995,571458,21761,damaged,-2,2011-10-17 14:02:00,0.0,nan,United Kingdom
21657,C538105,21781,MA CAMPAGNE CUTLERY BOX,-1,2010-12-09 15:18:00,14.95,16781.0,United Kingdom
38419,C539569,21781,MA CAMPAGNE CUTLERY BOX,-1,2010-12-20 12:01:00,14.95,17204.0,United Kingdom
68072,C541852,21781,MA CAMPAGNE CUTLERY BOX,-1,2011-01-23 14:21:00,14.95,17841.0,United Kingdom
110164,C545677,21781,MA CAMPAGNE CUTLERY BOX,-7,2011-03-06 10:48:00,12.75,14543.0,United Kingdom
140822,C548469,21781,MA CAMPAGNE CUTLERY BOX,-7,2011-03-31 12:32:00,12.75,14543.0,United Kingdom
154349,C549905,21781,MA CAMPAGNE CUTLERY BOX,-2,2011-04-12 16:21:00,14.95,17576.0,United Kingdom
201006,C554197,21781,MA CAMPAGNE CUTLERY BOX,-1,2011-05-23 12:14:00,14.95,14573.0,United Kingdom
229507,C557060,21781,MA CAMPAGNE CUTLERY BOX,-1,2011-06-16 14:54:00,14.95,17725.0,United Kingdom
255904,559378,21781,damages?,-39,2011-07-08 10:40:00,0.0,nan,United Kingdom
280747,561491,21781,missing,-2,2011-07-27 13:56:00,0.0,nan,United Kingdom
83562,543310,35954,missing,-234,2011-02-07 12:10:00,0.0,nan,United Kingdom
381306,569854,35954,counted,-430,2011-10-06 14:26:00,0.0,nan,United Kingdom
387140,570262,35954,missing,-80,2011-10-10 10:00:00,0.0,nan,United Kingdom
88060,C543755,85045,GREEN CHRISTMAS TREE STRING 20LIGHT,-4,2011-02-11 14:48:00,4.95,14304.0,United Kingdom
4853,C536812,22578,WOODEN STAR CHRISTMAS SCANDINAVIAN,-36,2010-12-02 16:58:00,0.85,16546.0,United Kingdom
268244,C560396,22578,WOODEN STAR CHRISTMAS SCANDINAVIAN,-96,2011-07-18 13:49:00,0.85,18087.0,United Kingdom
516370,C579886,22578,WOODEN STAR CHRISTMAS SCANDINAVIAN,-1,2011-11-30 17:39:00,0.29,15676.0,United Kingdom
535335,581212,22578,lost,-1050,2011-12-07 18:38:00,0.0,nan,United Kingdom
214894,C555636,22855,FINE WICKER HEART ,-12,2011-06-06 12:33:00,1.25,15073.0,United Kingdom
255938,559414,22855,missing,-4,2011-07-08 10:52:00,0.0,nan,United Kingdom
21466,C538082,21864,UNION JACK FLAG PASSPORT COVER ,-20,2010-12-09 14:30:00,2.1,13777.0,United Kingdom
38459,C539576,15056P,EDWARDIAN PARASOL PINK,-6,2010-12-20 12:25:00,5.95,14911.0,EIRE
73601,C542366,15056P,EDWARDIAN PARASOL PINK,-1,2011-01-27 12:54:00,4.65,13777.0,United Kingdom
271030,C560608,15056P,EDWARDIAN PARASOL PINK,-1,2011-07-20 10:35:00,5.95,16271.0,United Kingdom
497463,C578371,15056P,EDWARDIAN PARASOL PINK,-2,2011-11-24 11:16:00,5.95,14410.0,United Kingdom
61956,C541492,85174,S/4 CACTI CANDLES,-1,2011-01-18 14:24:00,4.95,nan,United Kingdom
73594,C542366,85174,S/4 CACTI CANDLES,-1,2011-01-27 12:54:00,4.25,13777.0,United Kingdom
391865,C570683,85174,S/4 CACTI CANDLES,-1,2011-10-11 16:09:00,4.95,16161.0,United Kingdom
230366,C557142,22965,3 TRADITIONAl BISCUIT CUTTERS  SET,-12,2011-06-17 10:06:00,2.1,12678.0,France
235931,C557663,22965,3 TRADITIONAl BISCUIT CUTTERS  SET,-12,2011-06-21 17:59:00,2.1,nan,EIRE
299546,C563107,22965,3 TRADITIONAl BISCUIT CUTTERS  SET,-12,2011-08-12 10:17:00,2.1,12709.0,Germany
310898,C564217,22965,3 TRADITIONAl BISCUIT CUTTERS  SET,-1,2011-08-24 09:24:00,2.1,12994.0,United Kingdom
334653,C566263,22965,3 TRADITIONAl BISCUIT CUTTERS  SET,-1,2011-09-11 13:01:00,2.1,14606.0,United Kingdom
263163,C559939,22025,RING OF ROSES BIRTHDAY CARD,-12,2011-07-14 10:19:00,0.42,14426.0,United Kingdom
535321,581198,22025,check,-30,2011-12-07 18:26:00,0.0,nan,United Kingdom
19995,C537998,22725,ALARM CLOCK BAKELIKE CHOCOLATE,-4,2010-12-09 11:42:00,3.75,17411.0,United Kingdom
24182,C538341,22725,ALARM CLOCK BAKELIKE CHOCOLATE,-1,2010-12-10 14:03:00,3.75,15514.0,United Kingdom
24184,C538341,22725,ALARM CLOCK BAKELIKE CHOCOLATE,-3,2010-12-10 14:03:00,3.75,15514.0,United Kingdom
52434,C540792,22725,ALARM CLOCK BAKELIKE CHOCOLATE,-1,2011-01-11 11:50:00,3.75,16203.0,United Kingdom
137906,C548174,22725,ALARM CLOCK BAKELIKE CHOCOLATE,-1,2011-03-29 14:17:00,3.75,13662.0,United Kingdom
148789,C549253,22725,ALARM CLOCK BAKELIKE CHOCOLATE,-1,2011-04-07 12:20:00,3.75,12408.0,Belgium
196121,C553780,22725,ALARM CLOCK BAKELIKE CHOCOLATE,-2,2011-05-19 10:53:00,3.75,15730.0,United Kingdom
276354,C561041,22725,ALARM CLOCK BAKELIKE CHOCOLATE,-1,2011-07-24 12:10:00,3.75,15708.0,United Kingdom
282999,C561684,22725,ALARM CLOCK BAKELIKE CHOCOLATE,-1,2011-07-28 19:36:00,3.75,13136.0,United Kingdom
311406,C564299,22725,ALARM CLOCK BAKELIKE CHOCOLATE,-8,2011-08-24 11:00:00,3.75,12853.0,United Kingdom
353003,C567712,22725,ALARM CLOCK BAKELIKE CHOCOLATE,-11,2011-09-22 10:08:00,3.75,13282.0,United Kingdom
383061,C569994,22725,ALARM CLOCK BAKELIKE CHOCOLATE,-12,2011-10-06 20:33:00,3.75,15606.0,United Kingdom
439970,C574492,22725,ALARM CLOCK BAKELIKE CHOCOLATE,-1,2011-11-04 13:06:00,3.75,16656.0,United Kingdom
527316,C580703,22725,ALARM CLOCK BAKELIKE CHOCOLATE,-1,2011-12-05 16:26:00,3.75,16705.0,United Kingdom
54342,C540942,37448,CERAMIC CAKE DESIGN SPOTTED MUG,-1,2011-01-12 12:30:00,1.49,13113.0,United Kingdom
68421,C541868,37448,CERAMIC CAKE DESIGN SPOTTED MUG,-4,2011-01-24 09:30:00,1.49,14796.0,United Kingdom
97694,C544655,37448,CERAMIC CAKE DESIGN SPOTTED MUG,-2,2011-02-22 12:57:00,1.49,13113.0,United Kingdom
127053,C547187,37448,CERAMIC CAKE DESIGN SPOTTED MUG,-6,2011-03-21 12:20:00,1.49,12779.0,Poland
129738,C547388,37448,CERAMIC CAKE DESIGN SPOTTED MUG,-12,2011-03-22 16:07:00,1.49,12352.0,Norway
152575,C549666,37448,CERAMIC CAKE DESIGN SPOTTED MUG,-1,2011-04-11 12:17:00,1.49,13113.0,United Kingdom
157208,C550195,37448,CERAMIC CAKE DESIGN SPOTTED MUG,-1,2011-04-15 09:55:00,1.49,14796.0,United Kingdom
263239,C559952,37448,CERAMIC CAKE DESIGN SPOTTED MUG,-1,2011-07-14 10:57:00,1.49,17696.0,United Kingdom
311398,C564281,37448,CERAMIC CAKE DESIGN SPOTTED MUG,-1,2011-08-24 10:54:00,1.49,14796.0,United Kingdom
355581,C567946,37448,CERAMIC CAKE DESIGN SPOTTED MUG,-1,2011-09-23 07:58:00,1.49,12909.0,United Kingdom
385923,C570221,37448,CERAMIC CAKE DESIGN SPOTTED MUG,-3,2011-10-09 12:56:00,1.49,13113.0,United Kingdom
394079,C570867,37448,CERAMIC CAKE DESIGN SPOTTED MUG,-12,2011-10-12 16:17:00,1.49,12607.0,USA
201897,C554344,22421,LIPSTICK PEN FUSCHIA,-2,2011-05-23 17:44:00,0.42,14032.0,United Kingdom
138287,C548193,84997A,CHILDRENS CUTLERY POLKADOT GREEN ,-1,2011-03-29 15:27:00,3.75,14680.0,United Kingdom
